county,gas,oil
ALLEGHENY,2565140.34,23470.58
ARMSTRONG,13500562.17,9427.19
BEAVER,7864.88,832.98
BEDFORD,,
BRADFORD,24567,
BUTLER,339724.52,18517.67
CAMBRIA,673825.32,
CAMERON,55411.8,
CENTRE,1134185.09,
CLARION,5013872.87,7124.18
CLEARFIELD,5246970.28,127.18
CLINTON,782109.12,
CRAWFORD,7240915.17,85317.72
ELK,2162350.39,168201.38
ERIE,2003249.91,5944.55
FAYETTE,6518029.16,4546.13
FOREST,2718876.19,185827.46
GREENE,10193063.03,62172.14
HUNTINGDON,143340,
INDIANA,24202995.33,2828.66
JEFFERSON,13414086.83,406.44
LAWRENCE,266496.51,85
LYCOMING,153337.57,
MCKEAN,32991182.44,465327.01
MERCER,6092510.18,21029.79
POTTER,488024.92,1083.93
SOMERSET,223076.42,
TIOGA,188754.22,
VENANGO,4431596.74,89829.85
WARREN,55902932.96,425260.2
WASHINGTON,5116687.86,33545.25
WESTMORELAND,11949419.04,19184.32